This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 202406 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Daily
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19630701,  -0.85,  -0.48,  -0.84,  -0.62,  -0.52,  -0.89
19630702,   0.55,   0.60,   0.47,   0.54,   0.80,   1.05
19630703,   0.34,   0.29,   0.70,   0.59,   0.65,   0.73
19630705,   0.41,   0.41,   0.68,   0.16,   0.52,   0.48
19630708,  -0.53,  -0.45,  -0.60,  -0.63,  -0.58,  -0.68
19630709,   0.45,   0.49,   0.55,   0.72,   0.25,   0.64
19630710,  -0.10,  -0.06,   0.22,  -0.09,  -0.22,  -0.23
19630711,  -0.25,   0.02,   0.08,   0.15,  -0.12,  -0.31
19630712,  -0.24,  -0.22,   0.24,   0.24,  -0.01,  -0.40
19630715,  -0.50,  -0.76,  -0.40,  -0.67,  -0.69,  -0.56
19630716,  -0.06,  -0.08,  -0.29,  -0.41,   0.01,   0.03
19630717,  -0.29,  -0.24,  -0.53,  -0.39,  -0.24,  -0.31
19630718,  -0.24,  -0.39,  -0.30,  -0.47,  -0.40,  -0.82
19630719,  -0.39,  -0.26,  -0.29,  -0.69,  -0.07,  -0.11
19630722,  -0.89,  -0.72,  -0.92,  -0.98,  -0.61,  -0.67
19630723,  -0.02,  -0.09,  -0.03,   0.01,   0.04,   0.18
19630724,   0.43,   0.30,   0.53,   0.35,   0.39,   0.74
19630725,   0.30,   0.08,  -0.04,  -0.15,   0.01,  -0.06
19630726,   0.36,   0.43,   0.15,   0.16,   0.31,   0.66
19630729,   0.00,   0.05,  -0.07,  -0.02,   0.22,   0.10
19630730,   0.71,   0.30,   0.76,   0.76,   0.70,   1.36
19630731,  -0.16,   0.11,  -0.01,   0.30,  -0.07,  -0.45
19630801,  -0.26,  -0.43,  -0.01,   0.02,  -0.10,  -0.08
19630802,   0.10,   0.30,   0.38,   0.46,   0.39,   0.14
19630805,   0.22,   0.12,   0.33,   0.92,   0.44,   0.64
19630806,   0.20,   0.60,   0.33,   0.62,   0.73,   0.56
19630807,  -0.03,  -0.29,  -0.26,  -0.28,  -0.13,  -0.32
19630808,  -0.02,   0.12,   0.31,   0.19,   0.10,   0.30
19630809,   0.49,   0.38,   0.71,   0.69,   0.71,   0.51
19630812,   0.68,   0.40,   0.34,   0.40,   0.23,   0.04
19630813,   0.09,   0.05,  -0.01,   0.20,   0.24,   0.37
19630814,   0.47,   0.21,   0.28,   0.48,   0.22,   0.50
19630815,   0.23,   0.28,   0.05,   0.35,   0.44,   0.54
19630816,   0.03,   0.11,   0.41,   0.13,   0.19,   0.12
19630819,  -0.09,  -0.02,  -0.27,  -0.29,   0.09,  -0.10
19630820,  -0.13,   0.07,  -0.14,   0.11,  -0.06,  -0.07
19630821,   0.29,   0.11,   0.26,  -0.02,  -0.18,  -0.16
19630822,   0.45,   0.25,   0.88,   0.61,   0.11,   0.70
19630823,   0.35,   0.40,   0.37,   0.39,   0.37,   0.39
19630826,   0.04,   0.07,   0.21,   0.05,   0.16,   0.31
19630827,  -0.38,  -0.31,  -0.54,  -0.54,  -0.30,  -0.56
19630828,   1.02,   0.98,   0.74,   0.90,   0.68,   0.73
19630829,   0.51,   0.08,   0.31,   0.17,   0.17,   0.28
19630830,   0.51,   0.71,   0.59,   0.24,   0.45,   0.58
19630903,   0.60,   0.21,   0.18,   0.32,   0.13,   0.40
19630904,   0.04,   0.10,   0.11,   0.13,  -0.12,   0.03
19630905,   0.44,   0.51,   0.38,   0.43,   0.58,   0.50
19630906,  -0.35,  -0.27,  -0.50,  -0.18,  -0.35,  -0.07
19630909,  -0.42,  -0.66,  -0.64,  -0.22,  -0.40,  -0.25
19630910,   0.66,   0.17,   0.54,   0.39,   0.46,   0.83
19630911,   0.49,  -0.03,  -0.23,   0.31,   0.25,   0.33
19630912,  -0.16,  -0.11,   0.11,  -0.33,   0.01,  -0.12
19630913,   0.56,   0.26,   0.35,   0.11,  -0.11,   0.12
19630916,  -0.24,   0.28,  -0.09,  -0.24,  -0.20,   0.00
19630917,  -0.08,  -0.09,  -0.24,   0.01,  -0.02,   0.22
