Dow Jones,S&P 500,NASDAQ
16569.28,1938.99,4383.89
16429.47,1920.21,4352.84
16443.34,1920.24,4355.05
16368.27,1909.57,4334.97
16553.93,1931.59,4370.9
16569.98,1936.92,4401.33
16560.54,1933.75,4389.25
16651.8,1946.72,4434.13
16713.58,1955.18,4453.0
16662.91,1955.06,4464.93
16838.74,1971.74,4508.31
16919.59,1981.6,4527.51
16979.13,1986.51,4526.48
17039.49,1992.37,4532.1
17001.22,1988.4,4538.55
17076.87,1997.92,4557.35
17106.7,2000.02,4570.64
17122.01,2000.12,4569.62
17079.57,1996.74,4557.7
17098.45,2003.37,4580.27
,,
17067.56,2002.28,4598.19
17078.28,2000.72,4572.57
17069.58,1997.65,4562.29
17137.36,2007.71,4582.9
17111.42,2001.54,4592.29
17013.87,1988.44,4552.29
17068.71,1995.69,4586.52
17049.0,1997.45,4591.81
16987.51,1985.54,4567.6
17031.14,1984.13,4518.9
17131.97,1998.98,4552.76
17156.85,2001.57,4562.19
17265.99,2011.36,4593.43
17279.74,2010.4,4579.79
17172.68,1994.29,4527.69
17055.87,1982.77,4508.69
17210.06,1998.3,4555.22
16945.8,1965.99,4466.75
17113.15,1982.85,4512.19
17071.22,1977.8,4505.85
17042.9,1972.29,4493.39
16804.71,1946.16,4422.09
16801.05,1946.17,4430.2
17009.69,1967.9,4475.62
16991.91,1964.82,4454.8
16719.39,1935.1,4385.2
16994.22,1968.89,4468.59
16659.25,1928.21,4378.34
16544.1,1906.13,4276.24
16321.07,1874.74,4213.66
16315.19,1877.7,4227.17
16141.74,1862.49,4215.32
16117.24,1862.76,4217.39
16380.41,1886.76,4258.44
16399.67,1904.01,4316.07
16614.81,1941.28,4419.48
16461.32,1927.11,4382.85
16677.9,1950.82,4452.79
16805.41,1964.58,4483.72
16817.94,1961.63,4485.93
17005.75,1985.05,4564.29
16974.31,1982.3,4549.23
17195.42,1994.65,4566.14
17390.52,2018.05,4630.74
17366.24,2017.81,4638.91
17383.84,2012.1,4623.64
17484.53,2023.57,4620.72
17554.47,2031.21,4638.47
17573.93,2031.92,4632.53
17613.74,2038.26,4651.62
17614.9,2039.68,4660.56
17612.2,2038.25,4675.13
17652.79,2039.33,4680.14
17634.74,2039.82,4688.54
17647.75,2041.32,4671.0
17687.82,2051.8,4702.44
17685.73,2048.72,4675.71
17719.0,2052.75,4701.87
17810.06,2063.5,4712.97
17817.9,2069.41,4754.89
17814.94,2067.03,4758.25
17827.75,2072.83,4787.32
,,
17828.24,2067.56,4791.63
17776.8,2053.44,4727.35
17879.55,2066.55,4755.81
17912.62,2074.33,4774.47
17900.1,2071.92,4769.44
17958.79,2075.37,4780.76
17852.48,2060.31,4740.69
17801.2,2059.82,4766.47
17533.15,2026.14,4684.03
17596.34,2035.33,4708.16
17280.83,2002.33,4653.6
17180.84,1989.63,4605.16
17068.87,1972.74,4547.83
17356.87,2012.89,4644.31
17778.15,2061.23,4748.4
17804.8,2070.65,4765.38
17959.44,2078.54,4781.42
18024.17,2082.17,4765.42
18030.21,2081.88,4773.47
,,
18053.71,2088.77,4806.86
18038.23,2090.57,4806.91
17983.07,2080.35,4777.44
17823.07,2058.9,4736.05
,,
17832.99,2058.2,4726.81
17501.65,2020.58,4652.57
17371.64,2002.61,4592.74
17584.52,2025.9,4650.47
17907.87,2062.14,4736.19
17737.37,2044.81,4704.07
17640.84,2028.26,4664.71
17613.68,2023.03,4661.5
17427.09,2011.27,4639.32
17320.71,1992.67,4570.82
17511.57,2019.42,4634.38
,,
17515.23,2022.55,4654.85
17554.28,2032.12,4667.42
17813.98,2063.15,4750.4
17672.6,2051.82,4757.88
17678.7,2057.09,4771.76
17387.21,2029.55,4681.5
17191.37,2002.16,4637.99
17416.85,2021.25,4683.41
17164.95,1994.99,4635.24
17361.04,2020.85,4676.69
17666.4,2050.03,4727.74
17673.02,2041.51,4716.7
17884.88,2062.52,4765.1
17824.29,2055.47,4744.4
17729.21,2046.74,4726.01
17868.76,2068.59,4787.64
17862.14,2068.53,4801.18
17972.38,2088.48,4857.61
18019.35,2096.99,4893.84
,,
18047.58,2100.34,4899.27
18029.85,2099.68,4906.36
17985.77,2097.45,4924.7
18140.44,2110.3,4955.97
18116.84,2109.66,4960.97
18209.19,2115.48,4968.12
18224.57,2113.86,4967.14
18214.42,2110.74,4987.89
18132.7,2104.5,4963.53
18288.63,2117.39,5008.1
18203.37,2107.78,4979.9
18096.9,2098.53,4967.14
18135.72,2101.04,4982.81
17856.78,2071.26,4927.37
17995.72,2079.43,4942.44
17662.94,2044.16,4859.79
17635.39,2040.24,4849.94
17895.22,2065.95,4893.29
17749.31,2053.4,4871.76
17977.42,2081.19,4929.51
17849.08,2074.28,4937.43
18076.19,2099.5,4982.83
17959.03,2089.27,4992.38
18127.65,2108.1,5026.42
18116.04,2104.42,5010.97
18011.14,2091.5,4994.73
17718.54,2061.05,4876.52
17678.23,2056.15,4863.36
17712.66,2061.02,4891.22
17976.31,2086.24,4947.44
17776.12,2067.89,4900.89
17698.18,2059.69,4880.23
17763.24,2066.96,4886.94
,,
17880.85,2080.62,4917.32
17875.42,2076.33,4910.23
17902.51,2081.9,4950.82
17958.73,2091.18,4974.56
18057.65,2102.06,4995.98
17977.04,2092.43,4988.25
18036.7,2095.84,4977.29
18112.61,2106.63,5011.02
18105.77,2104.99,5007.79
17826.3,2081.18,4931.81
18034.93,2100.4,4994.6
17949.59,2097.29,5014.1
18038.27,2107.96,5035.17
18058.69,2112.93,5056.06
18080.14,2117.69,5092.08
18037.97,2108.92,5060.25
18110.14,2114.76,5055.42
18035.53,2106.85,5023.64
17840.52,2085.51,4941.42
18024.06,2108.29,5005.39
18070.4,2114.49,5016.93
17928.2,2089.46,4939.33
17841.98,2080.15,4919.64
17924.06,2088.0,4945.54
18191.11,2116.1,5003.55
18105.17,2105.33,4993.57
18068.23,2099.12,4976.19
18060.49,2098.48,4981.69
18252.24,2121.1,5050.8
18272.56,2122.73,5048.29
18298.88,2129.2,5078.44
18312.39,2127.83,5070.03
18285.4,2125.85,5071.74
18285.74,2130.82,5090.79
18232.02,2126.06,5089.36
,,
18041.54,2104.2,5032.75
18162.99,2123.48,5106.59
18126.12,2120.79,5097.98
18010.68,2107.39,5070.03
18040.37,2111.73,5082.93
18011.94,2109.6,5076.52
18076.27,2114.07,5099.23
17905.58,2095.84,5059.12
17849.46,2092.83,5068.46
17766.55,2079.28,5021.63
17764.04,2080.15,5013.87
18000.4,2105.2,5076.69
18039.37,2108.86,5082.51
17898.84,2094.11,5051.1
17791.17,2084.43,5029.97
17904.48,2096.29,5055.55
17935.74,2100.44,5064.88
18115.84,2121.24,5132.95
18015.95,2109.99,5117.0
18119.78,2122.85,5153.97
18144.07,2124.2,5160.09
17966.07,2108.58,5122.41
17890.36,2102.31,5112.19
17946.68,2101.49,5080.51
17596.35,2057.64,4958.47
17619.51,2063.11,4986.87
