,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,11352369000000.0,586638000000.0,5076413000000.0,1294019000000.0,
Repurchase Of Capital Stock,,,,0.0,-1110590000000.0
Repayment Of Debt,,0.0,-261960000000.0,0.0,-2615000000000.0
Issuance Of Capital Stock,36199742000000.0,300000000000.0,150000000000.0,170000000000.0,
Capital Expenditure,-107210000000.0,-105899000000.0,-39377000000.0,-25534000000.0,
End Cash Position,93667470000000.0,54045171000000.0,53777928000000.0,22891191000000.0,
Beginning Cash Position,54045171000000.0,53777928000000.0,22891191000000.0,21396445000000.0,
Changes In Cash,39622299000000.0,267243000000.0,30886737000000.0,1494746000000.0,
Financing Cash Flow,28265818000000.0,300000000000.0,-111960000000.0,170000000000.0,
Cash Dividends Paid,-7933924000000.0,,,,
Common Stock Dividend Paid,-7933924000000.0,,,,
Net Common Stock Issuance,36199742000000.0,300000000000.0,150000000000.0,170000000000.0,
Common Stock Payments,,,,0.0,-1110590000000.0
Common Stock Issuance,36199742000000.0,300000000000.0,150000000000.0,170000000000.0,
Net Issuance Payments Of Debt,,0.0,-261960000000.0,0.0,-2615000000000.0
Net Long Term Debt Issuance,,0.0,-261960000000.0,0.0,-2615000000000.0
Long Term Debt Payments,,0.0,-261960000000.0,0.0,-2615000000000.0
Investing Cash Flow,-103098000000.0,-725294000000.0,25882907000000.0,5193000000.0,
Dividends Received Cfi,3147000000.0,12801000000.0,1967000000.0,5013000000.0,
Net Investment Purchase And Sale,0.0,-635438000000.0,25917214000000.0,0.0,
Sale Of Investment,,0.0,25933714000000.0,0.0,
Purchase Of Investment,0.0,-635438000000.0,-16500000000.0,0.0,
Net PPE Purchase And Sale,-106245000000.0,-102657000000.0,-36274000000.0,180000000.0,
Sale Of PPE,965000000.0,3242000000.0,3103000000.0,25714000000.0,
Purchase Of PPE,-107210000000.0,-105899000000.0,-39377000000.0,-25534000000.0,
Operating Cash Flow,11459579000000.0,692537000000.0,5115790000000.0,1319553000000.0,
Cash Flowsfromusedin Operating Activities Direct,11459579000000.0,692537000000.0,5115790000000.0,1319553000000.0,
Classesof Cash Payments,-239500112000000.0,-175261559000000.0,-149911920000000.0,-90819256000000.0,
Other Cash Paymentsfrom Operating Activities,-30999019000000.0,-27822983000000.0,-28178082000000.0,-7206792000000.0,
Paymentson Behalfof Employees,-13563177000000.0,-13872589000000.0,-10638062000000.0,-10862595000000.0,
Classesof Cash Receiptsfrom Operating Activities,250959691000000.0,175954096000000.0,155027710000000.0,92138809000000.0,
Other Cash Receiptsfrom Operating Activities,8069500000000.0,8885324000000.0,,1541712000000.0,141417000000.0
