,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1395596995.750422,10796124541.0726,-6092825128.778865,6520514345.646573
Tax Rate For Calcs,0.213786,0.203171,0.200964,0.200139
Total Unusual Items,6528000000.0,53138000000.0,-30318000000.0,32580000000.0
Total Unusual Items Excluding Goodwill,6528000000.0,53138000000.0,-30318000000.0,32580000000.0
Net Income From Continuing Operation Net Minority Interest,9973939000000.0,18167968000000.0,11721208000000.0,10413760000000.0
Reconciled Depreciation,437800000000.0,366377000000.0,379228000000.0,380432000000.0
Net Interest Income,38174676000000.0,41021058000000.0,34348829000000.0,32345823000000.0
Interest Expense,38382701000000.0,21179192000000.0,16478269000000.0,20015944000000.0
Interest Income,76557377000000.0,62200250000000.0,50827098000000.0,52361767000000.0
Normalized Income,9968806596995.75,18125626124541.074,11745433174871.22,10387700514345.646
Net Income From Continuing And Discontinued Operation,9973939000000.0,18167968000000.0,11721208000000.0,10413760000000.0
Diluted Average Shares,6958838203.0,6685217725.0,6643349682.0,6582689367.0
Basic Average Shares,6958838203.0,6685217725.0,6643349682.0,6582689367.0
Diluted EPS,1433.0,2718.0,1764.0,1581.991709
Basic EPS,1433.0,2718.0,1764.0,1582.0
Diluted NI Availto Com Stockholders,9973939000000.0,18167968000000.0,11721208000000.0,10413760000000.0
Net Income Common Stockholders,9973939000000.0,18167968000000.0,11721208000000.0,10413760000000.0
Net Income,9973939000000.0,18167968000000.0,11721208000000.0,10413760000000.0
Minority Interests,1479768000000.0,1259161000000.0,244038000000.0,0.0
Net Income Including Noncontrolling Interests,8494171000000.0,16908807000000.0,11477170000000.0,10413760000000.0
Net Income Continuous Operations,8494171000000.0,16908807000000.0,11477170000000.0,10413760000000.0
Tax Provision,2309725000000.0,4311325000000.0,2886600000000.0,2605695000000.0
Pretax Income,10803896000000.0,21220132000000.0,14363770000000.0,13019455000000.0
Special Income Charges,6528000000.0,53138000000.0,-30318000000.0,32580000000.0
Other Special Charges,-6528000000.0,-53138000000.0,30318000000.0,-32580000000.0
Gain On Sale Of Security,215673000000.0,523331000000.0,3060586000000.0,1347671000000.0
Operating Expense,14289389000000.0,14501085000000.0,11976849000000.0,11765150000000.0
Other Operating Expenses,2865061000000.0,3245392000000.0,3387567000000.0,2436031000000.0
Depreciation And Amortization In Income Statement,437800000000.0,366377000000.0,379228000000.0,380432000000.0
Depreciation Income Statement,437800000000.0,366377000000.0,379228000000.0,380432000000.0
Selling General And Administration,1262910000000.0,1571486000000.0,1054780000000.0,1306159000000.0
General And Administrative Expense,1262910000000.0,1571486000000.0,1054780000000.0,1306159000000.0
Insurance And Claims,301649000000.0,182448000000.0,176046000000.0,205015000000.0
Rent And Landing Fees,812756000000.0,807641000000.0,748722000000.0,738018000000.0
Total Revenue,50107389000000.0,58156595000000.0,45597017000000.0,39383038000000.0
Operating Revenue,50107389000000.0,58156595000000.0,45597017000000.0,39383038000000.0
